OBC Node Number = 126
1 1 1 18.000000 30.000000
2 2 1 18.000000 30.000000
3 3 1 18.000000 30.000000
4 4 1 18.000000 30.000000
5 5 1 18.000000 30.000000
6 6 1 18.000000 30.000000
7 7 1 18.000000 30.000000
8 8 1 18.000000 30.000000
9 9 1 18.000000 30.000000
10 10 1 18.000000 30.000000
11 11 1 18.000000 30.000000
12 12 1 18.000000 30.000000
13 13 1 18.000000 30.000000
14 14 1 18.000000 30.000000
15 15 1 18.000000 30.000000
16 16 1 18.000000 30.000000
17 17 1 18.000000 30.000000
18 18 1 18.000000 30.000000
19 19 1 18.000000 30.000000
20 20 1 18.000000 30.000000
21 21 1 18.000000 30.000000
22 22 1 18.000000 30.000000
23 23 1 18.000000 30.000000
24 24 1 18.000000 30.000000
25 25 1 18.000000 30.000000
26 26 1 18.000000 30.000000
27 27 1 18.000000 30.000000
28 28 1 18.000000 30.000000
29 29 1 18.000000 30.000000
30 30 1 18.000000 30.000000
31 31 1 18.000000 30.000000
32 32 1 18.000000 30.000000
33 33 1 18.000000 30.000000
34 34 1 18.000000 30.000000
35 35 1 18.000000 30.000000
36 36 1 18.000000 30.000000
37 37 1 18.000000 30.000000
38 38 1 18.000000 30.000000
39 39 1 18.000000 30.000000
40 40 1 18.000000 30.000000
41 41 1 18.000000 30.000000
42 42 1 18.000000 30.000000
43 43 1 18.000000 30.000000
44 44 1 18.000000 30.000000
45 45 1 18.000000 30.000000
46 46 1 18.000000 30.000000
47 47 1 18.000000 30.000000
48 48 1 18.000000 30.000000
49 49 1 18.000000 30.000000
50 50 1 18.000000 30.000000
51 51 1 18.000000 30.000000
52 52 1 18.000000 30.000000
53 53 1 18.000000 30.000000
54 54 1 18.000000 30.000000
55 55 1 18.000000 30.000000
56 56 1 18.000000 30.000000
57 57 1 18.000000 30.000000
58 58 1 18.000000 30.000000
59 59 1 18.000000 30.000000
60 60 1 18.000000 30.000000
61 61 1 18.000000 30.000000
62 62 1 18.000000 30.000000
63 63 1 18.000000 30.000000
64 64 1 18.000000 30.000000
65 65 1 18.000000 30.000000
66 66 1 18.000000 30.000000
67 67 1 18.000000 30.000000
68 68 1 18.000000 30.000000
69 69 1 18.000000 30.000000
70 70 1 18.000000 30.000000
71 71 1 18.000000 30.000000
72 72 1 18.000000 30.000000
73 73 1 18.000000 30.000000
74 74 1 18.000000 30.000000
75 75 1 18.000000 30.000000
76 76 1 18.000000 30.000000
77 77 1 18.000000 30.000000
78 78 1 18.000000 30.000000
79 79 1 18.000000 30.000000
80 80 1 18.000000 30.000000
81 81 1 18.000000 30.000000
82 82 1 18.000000 30.000000
83 83 1 18.000000 30.000000
84 84 1 18.000000 30.000000
85 85 1 18.000000 30.000000
86 86 1 18.000000 30.000000
87 87 1 18.000000 30.000000
88 88 1 18.000000 30.000000
89 89 1 18.000000 30.000000
90 90 1 18.000000 30.000000
91 91 1 18.000000 30.000000
92 92 1 18.000000 30.000000
93 93 1 18.000000 30.000000
94 94 1 18.000000 30.000000
95 95 1 18.000000 30.000000
96 96 1 18.000000 30.000000
97 97 1 18.000000 30.000000
98 98 1 18.000000 30.000000
99 99 1 18.000000 30.000000
100 100 1 18.000000 30.000000
101 101 1 18.000000 30.000000
102 102 1 18.000000 30.000000
103 103 1 18.000000 30.000000
104 104 1 18.000000 30.000000
105 105 1 18.000000 30.000000
106 106 1 18.000000 30.000000
107 107 1 18.000000 30.000000
108 108 1 18.000000 30.000000
109 109 1 18.000000 30.000000
110 110 1 18.000000 30.000000
111 111 1 18.000000 30.000000
112 112 1 18.000000 30.000000
113 113 1 18.000000 30.000000
114 114 1 18.000000 30.000000
115 115 1 18.000000 30.000000
116 116 1 18.000000 30.000000
117 117 1 18.000000 30.000000
118 118 1 18.000000 30.000000
119 119 1 18.000000 30.000000
120 120 1 18.000000 30.000000
121 121 1 18.000000 30.000000
122 122 1 18.000000 30.000000
123 123 1 18.000000 30.000000
124 124 1 18.000000 30.000000
125 125 1 18.000000 30.000000
126 126 1 18.000000 30.000000
